Brand,Body,Mileage,EngineV,Engine Type,Registration,Year,Price
Toyota,Sedan,45000,1.5,Petrol,Yes,2018,500000
Honda,Sedan,30000,1.8,Petrol,Yes,2019,650000
BMW,SUV,20000,2.0,Diesel,Yes,2020,1500000
Audi,Sedan,25000,2.0,Diesel,Yes,2021,1800000
Hyundai,Hatchback,60000,1.2,Petrol,No,2017,300000
Maruti,Hatchback,70000,1.0,Petrol,Yes,2016,250000
Toyota,SUV,40000,2.4,Diesel,Yes,2019,1200000
Honda,SUV,35000,2.0,Diesel,Yes,2018,1100000
BMW,Sedan,15000,2.0,Petrol,Yes,2022,2000000
Audi,SUV,18000,3.0,Diesel,Yes,2021,2500000
Hyundai,Sedan,50000,1.6,Petrol,No,2017,400000
Maruti,Hatchback,80000,1.2,Petrol,Yes,2015,200000
Toyota,Sedan,55000,1.8,Petrol,Yes,2018,600000
Honda,Sedan,45000,1.5,Petrol,Yes,2019,580000
BMW,SUV,22000,3.0,Diesel,Yes,2020,2200000
Audi,Sedan,27000,2.0,Petrol,Yes,2021,1900000
Hyundai,Hatchback,65000,1.1,Petrol,No,2016,280000
Maruti,Hatchback,75000,1.0,Petrol,Yes,2015,230000
Toyota,SUV,42000,2.2,Diesel,Yes,2019,1300000
Honda,SUV,38000,2.0,Diesel,Yes,2018,1150000
BMW,Sedan,12000,2.5,Petrol,Yes,2022,2100000
Audi,SUV,16000,3.0,Diesel,Yes,2021,2400000
Hyundai,Sedan,52000,1.6,Petrol,No,2017,420000
Maruti,Hatchback,82000,1.2,Petrol,Yes,2014,210000
Toyota,Sedan,47000,1.5,Petrol,Yes,2018,520000
Honda,Sedan,33000,1.8,Petrol,Yes,2019,670000
BMW,SUV,21000,2.0,Diesel,Yes,2020,1600000
Audi,Sedan,26000,2.0,Diesel,Yes,2021,1750000
Hyundai,Hatchback,62000,1.2,Petrol,No,2016,290000
Maruti,Hatchback,78000,1.0,Petrol,Yes,2015,240000
Toyota,SUV,41000,2.4,Diesel,Yes,2019,1250000
Honda,SUV,36000,2.0,Diesel,Yes,2018,1120000
BMW,Sedan,14000,2.0,Petrol,Yes,2022,1950000
Audi,SUV,17000,3.0,Diesel,Yes,2021,2350000
Hyundai,Sedan,51000,1.6,Petrol,No,2017,410000
Maruti,Hatchback,81000,1.2,Petrol,Yes,2014,220000
Toyota,Sedan,48000,1.5,Petrol,Yes,2018,530000
Honda,Sedan,34000,1.8,Petrol,Yes,2019,660000
BMW,SUV,23000,3.0,Diesel,Yes,2020,2250000
Audi,Sedan,28000,2.0,Petrol,Yes,2021,1850000
